       flips     | logical  errors | corrections   
 [0,  0,  1,  0,  1,  1,  1,  1,  0,  1,  0,  0] |        |X|      | Z[3]  Z[5]  Z[13]  Z[14]  Z[23]  Z[24]  Z[33]  Z[34]  Z[43]  Z[44] 
 [1,  0,  1,  0,  1,  0,  0,  0,  0,  0,  1,  1] |        |I|      | Z[4]  Z[5] 
 [0,  1,  1,  1,  0,  1,  0,  1,  1,  0,  1,  0] |        |X|      | Z[3]  Z[5]  Z[13]  Z[14]  Z[43]  Z[44] 
 [1,  0,  1,  1,  1,  0,  1,  0,  0,  1,  1,  1] |        |I|      | Z[4]  Z[5] 
 [1,  1,  0,  0,  1,  1,  1,  0,  0,  1,  1,  1] |        |I|      | Z[4]  Z[5]  Z[14]  Z[15]  Z[24]  Z[26]  Z[34]  Z[36]  Z[43]  Z[45] 
 [0,  0,  1,  0,  0,  1,  1,  1,  0,  1,  0,  1] |        |I|      | Z[12]  Z[13]  Z[22]  Z[24]  Z[33]  Z[34]  Z[43]  Z[44] 
 [0,  1,  1,  1,  0,  0,  0,  0,  0,  1,  0,  1] |        |Z|      | Z[3]  Z[12]  Z[22]  Z[33]  Z[43] 
 [1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  1] |        |Y|      | Z[3]  Z[4]  Z[5]  Z[12]  Z[14]  Z[15]  Z[22]  Z[24]  Z[25]  Z[33]  Z[43] 
 [0,  1,  1,  1,  0,  0,  0,  0,  0,  0,  1,  0] |        |Y|      | Z[5]  Z[14]  Z[24]  Z[35]  Z[45] 
 [1,  1,  0,  0,  0,  0,  1,  0,  0,  0,  0,  1] |        |Z|      | Z[5]  Z[14]  Z[24]  Z[34]  Z[43] 
 [1,  1,  0,  1,  1,  1,  1,  1,  1,  1,  0,  0] |        |X|      | Z[3]  Z[4]  Z[13]  Z[15]  Z[23]  Z[26]  Z[33]  Z[36]  Z[44]  Z[45] 
 [0,  1,  0,  1,  0,  0,  0,  0,  1,  0,  0,  1] |        |Z|      | Z[3]  Z[12]  Z[22]  Z[33]  Z[43] 
