   flips   |   errors   
 [0,  1,  1,  0,  1,  0,  0,  1,  0,  1,  0,  1] | [10,  34] 
 [1,  1,  0,  1,  1,  0,  0,  0,  0,  1,  0,  1] | [17,  27] 
 [0,  1,  1,  1,  0,  1,  1,  1,  0,  1,  0,  0] | [13,  40] 
 [0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1] | [10,  33] 
 [1,  0,  0,  0,  1,  0,  1,  1,  1,  1,  0,  1] | [9,  37] 
 [1,  0,  0,  1,  1,  1,  1,  1,  0,  0,  1,  0] | [12,  48] 
 [0,  0,  1,  1,  1,  0,  0,  1,  1,  1,  0,  1] | [9,  26] 
 [0,  0,  0,  0,  1,  0,  0,  0,  1,  1,  1,  0] | [10,  25] 
 [0,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1,  1] | [10,  39] 
 [0,  1,  0,  0,  0,  0,  1,  1,  0,  1,  0,  1] | [9,  27] 
 [0,  0,  1,  0,  0,  0,  1,  0,  1,  1,  0,  1] | [13,  39] 
 [1,  1,  1,  0,  1,  0,  1,  0,  1,  1,  1,  0] | [18,  46] 
 [1,  1,  0,  0,  0,  0,  1,  1,  1,  0,  0,  0] | [12,  32] 
 [0,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0] | [7,  41] 
 [1,  0,  1,  0,  0,  1,  0,  1,  1,  0,  1,  0] | [12,  39] 
 [0,  0,  1,  0,  1,  0,  1,  1,  1,  0,  1,  1] | [15,  43] 
 [0,  1,  0,  1,  1,  0,  1,  1,  1,  0,  0,  1] | [8,  38] 
 [0,  1,  1,  0,  1,  0,  0,  1,  1,  0,  1,  1] | [11,  32] 
 [0,  1,  0,  0,  1,  1,  0,  1,  1,  1,  1,  0] | [13,  31] 
 [1,  0,  1,  0,  0,  0,  0,  1,  1,  0,  1,  0] | [14,  51] 
 [1,  0,  0,  1,  0,  0,  0,  1,  0,  1,  0,  1] | [11,  39] 
 [0,  0,  1,  0,  0,  1,  0,  1,  1,  0,  0,  0] | [14,  44] 
 [0,  1,  0,  1,  1,  1,  1,  0,  1,  1,  0,  1] | [12,  45] 
 [0,  0,  1,  1,  1,  1,  1,  0,  0,  1,  0,  1] | [15,  38] 
 [0,  0,  0,  1,  1,  1,  0,  1,  1,  1,  1,  0] | [18,  45] 
 [0,  1,  0,  0,  1,  0,  0,  1,  0,  1,  1,  0] | [13,  39] 
 [0,  1,  1,  0,  0,  0,  1,  0,  1,  0,  0,  0] | [14,  44] 
 [0,  1,  0,  1,  0,  1,  1,  0,  0,  1,  1,  1] | [12,  25] 
 [1,  0,  1,  1,  0,  0,  0,  0,  1,  1,  1,  1] | [16,  52] 
 [1,  1,  0,  0,  1,  1,  1,  0,  1,  1,  1,  1] | [17,  35] 
 [1,  0,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1] | [13,  34] 
 [0,  1,  0,  1,  0,  1,  1,  1,  1,  1,  0,  1] | [13,  41] 
 [0,  1,  0,  1,  0,  1,  1,  0,  0,  0,  1,  1] | [18,  43] 
 [0,  0,  1,  0,  0,  1,  1,  0,  1,  0,  0,  1] | [6,  37] 
 [1,  1,  0,  0,  1,  1,  0,  0,  1,  0,  0,  0] | [9,  37] 
 [0,  1,  0,  1,  0,  1,  1,  1,  1,  1,  0,  0] | [9,  42] 
 [0,  0,  0,  0,  1,  0,  1,  1,  1,  0,  1,  0] | [15,  34] 
 [0,  1,  1,  1,  1,  0,  1,  0,  0,  1,  0,  0] | [10,  26] 
 [0,  1,  0,  1,  1,  1,  0,  0,  0,  1,  0,  1] | [13,  37] 
 [0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  1,  1] | [11,  36] 
 [0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  0,  1] | [15,  37] 
 [1,  1,  1,  1,  1,  0,  0,  1,  1,  1,  0,  1] | [10,  39] 
 [1,  1,  0,  1,  0,  1,  0,  0,  1,  0,  0,  1] | [12,  40] 
 [1,  0,  0,  1,  0,  1,  1,  1,  1,  1,  0,  0] | [9,  48] 
 [0,  0,  1,  0,  1,  0,  1,  1,  1,  0,  0,  0] | [18,  31] 
 [1,  0,  1,  1,  1,  1,  1,  0,  0,  0,  1,  1] | [11,  27] 
 [1,  0,  0,  0,  0,  1,  1,  0,  1,  1,  0,  1] | [11,  36] 
 [1,  1,  1,  1,  1,  0,  0,  1,  0,  0,  0,  0] | [12,  31] 
 [0,  1,  1,  0,  1,  1,  0,  0,  1,  0,  1,  1] | [12,  38] 
 [0,  1,  0,  0,  1,  1,  1,  0,  1,  1,  0,  1] | [9,  49] 
 [1,  0,  1,  0,  0,  1,  0,  1,  1,  0,  0,  0] | [9,  34] 
 [0,  0,  1,  0,  0,  1,  0,  1,  0,  1,  0,  1] | [7,  51] 
 [1,  0,  1,  1,  0,  1,  1,  0,  0,  1,  1,  1] | [14,  40] 
 [1,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1] | [9,  31] 
 [0,  1,  1,  1,  0,  1,  1,  0,  1,  1,  0,  0] | [7,  35] 
 [0,  1,  0,  0,  0,  0,  0,  1,  1,  0,  1,  1] | [12,  31] 
 [1,  0,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0] | [12,  34] 
 [0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  1,  0] | [14,  42] 
 [1,  0,  1,  0,  0,  1,  0,  1,  0,  0,  1,  1] | [14,  31] 
 [1,  1,  0,  1,  0,  1,  1,  1,  1,  1,  0,  0] | [12,  31] 
 [1,  1,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1] | [11,  38] 
 [0,  0,  1,  1,  0,  1,  1,  0,  1,  1,  1,  0] | [9,  45] 
 [1,  0,  0,  1,  0,  0,  0,  1,  1,  0,  0,  1] | [14,  51] 
 [1,  0,  0,  1,  1,  0,  1,  1,  1,  0,  0,  0] | [14,  46] 
 [1,  0,  1,  0,  0,  1,  1,  1,  1,  0,  0,  1] | [10,  46] 
 [1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1] | [13,  47] 
 [0,  0,  0,  1,  1,  0,  0,  1,  1,  1,  1,  0] | [11,  35] 
 [1,  1,  1,  0,  0,  0,  0,  0,  1,  1,  0,  1] | [5,  39] 
 [1,  0,  0,  1,  1,  1,  1,  0,  0,  1,  1,  0] | [11,  31] 
 [1,  1,  1,  1,  1,  0,  1,  1,  1,  0,  1,  0] | [11,  48] 
 [0,  0,  1,  1,  0,  1,  0,  1,  0,  1,  1,  0] | [11,  42] 
 [0,  0,  0,  1,  0,  1,  0,  1,  1,  0,  1,  0] | [16,  35] 
 [0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  0,  1] | [10,  38] 
 [1,  1,  1,  0,  1,  0,  1,  0,  1,  0,  0,  0] | [11,  36] 
 [1,  1,  1,  1,  0,  0,  0,  1,  1,  1,  1,  0] | [15,  38] 
 [1,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1,  1] | [15,  50] 
 [1,  1,  1,  1,  1,  0,  0,  0,  0,  0,  1,  1] | [12,  33] 
 [0,  1,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1] | [12,  26] 
 [1,  0,  1,  1,  1,  1,  0,  0,  1,  1,  1,  0] | [13,  43] 
 [1,  0,  0,  0,  1,  0,  0,  1,  0,  0,  1,  0] | [13,  31] 
 [0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  1] | [14,  49] 
 [1,  0,  1,  1,  1,  1,  0,  0,  0,  1,  0,  1] | [7,  37] 
 [1,  0,  1,  1,  0,  1,  0,  0,  1,  1,  1,  1] | [10,  33] 
 [1,  1,  0,  1,  1,  1,  0,  0,  1,  1,  1,  0] | [11,  33] 
 [1,  0,  0,  1,  1,  1,  0,  1,  0,  1,  0,  1] | [16,  35] 
 [0,  1,  1,  1,  0,  0,  0,  1,  1,  1,  1,  0] | [14,  32] 
 [0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0] | [8,  29] 
 [0,  1,  1,  0,  1,  0,  0,  1,  0,  0,  1,  1] | [14,  31] 
 [0,  1,  1,  1,  0,  0,  0,  1,  1,  0,  0,  1] | [19,  42] 
 [0,  0,  1,  0,  0,  1,  1,  0,  1,  1,  1,  0] | [13,  42] 
 [0,  0,  1,  1,  1,  0,  0,  1,  1,  0,  0,  0] | [13,  39] 
 [1,  1,  1,  1,  0,  1,  1,  0,  0,  1,  1,  1] | [13,  33] 
 [0,  0,  0,  0,  0,  1,  1,  1,  0,  0,  0,  0] | [18,  44] 
 [1,  1,  1,  0,  1,  1,  0,  1,  1,  0,  0,  1] | [12,  45] 
 [0,  0,  1,  1,  0,  1,  1,  0,  0,  0,  0,  1] | [14,  33] 
 [0,  1,  0,  0,  1,  0,  1,  1,  0,  1,  1,  1] | [18,  43] 
 [1,  0,  1,  1,  0,  0,  1,  0,  1,  1,  0,  1] | [11,  36] 
 [0,  1,  0,  1,  1,  1,  0,  0,  1,  0,  1,  0] | [13,  39] 
 [1,  0,  0,  0,  0,  1,  0,  0,  0,  0,  1,  1] | [12,  33] 
 [1,  1,  1,  1,  1,  0,  1,  1,  0,  0,  0,  1] | [15,  35] 
 [1,  0,  0,  1,  0,  0,  1,  1,  1,  0,  1,  0] | [18,  42] 
 [1,  0,  0,  1,  0,  0,  0,  1,  1,  1,  0,  0] | [11,  37] 
 [1,  1,  1,  1,  1,  0,  0,  1,  1,  0,  1,  0] | [9,  30] 
 [1,  0,  1,  1,  1,  0,  0,  0,  1,  0,  0,  0] | [15,  35] 
 [1,  0,  0,  1,  1,  0,  0,  1,  1,  0,  1,  0] | [12,  30] 
 [1,  1,  0,  1,  0,  1,  1,  0,  1,  1,  1,  1] | [14,  33] 
 [1,  1,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1] | [12,  35] 
 [1,  1,  0,  0,  1,  0,  1,  1,  1,  0,  1,  0] | [10,  35] 
 [1,  0,  1,  0,  1,  1,  1,  0,  1,  0,  0,  0] | [12,  45] 
 [1,  0,  0,  0,  0,  1,  0,  0,  1,  1,  1,  0] | [12,  41] 
 [1,  0,  1,  1,  0,  0,  0,  0,  0,  1,  0,  1] | [10,  36] 
 [0,  0,  1,  0,  0,  0,  0,  1,  0,  1,  1,  0] | [14,  36] 
 [0,  1,  0,  0,  0,  1,  0,  0,  1,  1,  1,  1] | [8,  21] 
 [0,  0,  1,  0,  1,  0,  0,  0,  1,  1,  0,  1] | [17,  33] 
 [1,  0,  0,  0,  1,  1,  1,  0,  1,  1,  1,  1] | [15,  38] 
 [1,  1,  0,  0,  1,  1,  1,  0,  0,  0,  0,  0] | [15,  39] 
 [0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  1,  1] | [7,  40] 
 [0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  1] | [12,  40] 
 [0,  0,  1,  1,  1,  1,  1,  0,  0,  0,  1,  0] | [8,  41] 
 [1,  1,  1,  1,  1,  1,  1,  0,  0,  1,  0,  1] | [15,  27] 
 [0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0] | [10,  42] 
 [1,  1,  0,  1,  1,  1,  0,  0,  0,  1,  1,  0] | [9,  43] 
 [1,  0,  0,  0,  1,  1,  0,  0,  1,  0,  0,  0] | [22,  39] 
 [1,  1,  1,  0,  1,  1,  1,  1,  1,  0,  1,  0] | [12,  29] 
 [1,  0,  0,  0,  1,  0,  0,  1,  1,  1,  1,  0] | [19,  42] 
 [1,  0,  0,  0,  1,  0,  0,  1,  0,  1,  0,  0] | [15,  42] 
 [0,  1,  0,  0,  1,  1,  1,  0,  0,  0,  0,  1] | [14,  39] 
 [1,  0,  1,  1,  1,  0,  0,  0,  1,  0,  1,  0] | [16,  41] 
 [1,  1,  1,  0,  1,  0,  1,  1,  1,  1,  0,  0] | [12,  37] 
 [0,  0,  0,  0,  0,  1,  0,  1,  0,  0,  1,  1] | [12,  27] 
 [0,  0,  0,  1,  0,  1,  1,  1,  1,  0,  1,  1] | [15,  38] 
