   flips   |   errors   
 [1,  0,  1,  1,  1,  0,  0,  1,  1,  1,  1,  1] | [17,  35] 
 [0,  0,  1,  0,  0,  0,  0,  1,  0,  1,  0,  0] | [10,  38] 
 [1,  1,  0,  1,  1,  0,  1,  0,  0,  0,  1,  0] | [16,  40] 
 [0,  0,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0] | [10,  44] 
 [1,  0,  1,  1,  0,  1,  1,  0,  1,  1,  0,  1] | [13,  37] 
 [0,  1,  0,  0,  1,  1,  0,  0,  0,  0,  1,  1] | [7,  30] 
 [1,  0,  0,  1,  0,  0,  0,  0,  0,  1,  0,  0] | [9,  39] 
 [1,  1,  0,  1,  0,  1,  0,  0,  1,  1,  1,  0] | [18,  47] 
 [1,  1,  1,  0,  1,  0,  0,  0,  1,  1,  1,  0] | [11,  28] 
 [1,  0,  0,  1,  0,  0,  1,  0,  1,  1,  0,  0] | [16,  34] 
 [0,  1,  0,  1,  1,  1,  0,  1,  0,  0,  0,  0] | [4,  42] 
 [0,  1,  1,  0,  0,  1,  1,  1,  0,  0,  0,  1] | [10,  37] 
 [0,  0,  0,  1,  0,  1,  1,  1,  1,  1,  1,  0] | [12,  44] 
 [0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  1] | [15,  38] 
 [0,  1,  0,  1,  0,  1,  0,  1,  1,  0,  0,  0] | [11,  37] 
 [0,  1,  1,  1,  1,  0,  1,  0,  1,  1,  0,  0] | [13,  25] 
 [0,  1,  0,  0,  1,  0,  1,  1,  1,  1,  0,  1] | [10,  36] 
 [0,  0,  0,  1,  1,  1,  0,  0,  1,  1,  1,  1] | [14,  36] 
 [1,  1,  1,  0,  1,  1,  0,  0,  0,  0,  0,  1] | [6,  37] 
 [0,  0,  1,  1,  1,  0,  0,  1,  0,  1,  1,  0] | [12,  40] 
 [0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  1,  0] | [11,  28] 
 [1,  0,  1,  1,  1,  0,  0,  1,  0,  0,  1,  1] | [9,  35] 
 [0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  1,  0] | [10,  44] 
 [0,  1,  1,  1,  1,  0,  1,  1,  1,  0,  0,  0] | [13,  42] 
 [0,  0,  1,  1,  0,  0,  1,  1,  0,  1,  0,  0] | [15,  26] 
 [1,  0,  1,  1,  0,  1,  0,  0,  1,  0,  0,  0] | [13,  33] 
 [0,  0,  0,  0,  1,  1,  0,  0,  0,  1,  0,  1] | [20,  38] 
 [1,  1,  0,  0,  1,  1,  0,  0,  0,  1,  1,  0] | [11,  42] 
 [1,  0,  1,  1,  0,  1,  0,  0,  1,  1,  1,  0] | [12,  39] 
 [1,  0,  0,  0,  1,  1,  1,  0,  0,  1,  0,  0] | [11,  44] 
 [0,  0,  0,  0,  1,  1,  0,  1,  1,  0,  0,  1] | [14,  39] 
 [1,  1,  0,  0,  1,  1,  0,  0,  1,  1,  0,  1] | [9,  49] 
 [1,  0,  0,  0,  1,  1,  0,  0,  1,  0,  1,  0] | [12,  35] 
 [0,  1,  0,  0,  0,  1,  0,  1,  0,  1,  0,  1] | [10,  44] 
 [0,  1,  1,  0,  1,  0,  1,  1,  0,  1,  0,  0] | [12,  38] 
 [0,  1,  0,  0,  1,  0,  0,  0,  1,  0,  1,  1] | [17,  39] 
 [0,  0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  0] | [14,  32] 
 [1,  1,  1,  1,  0,  0,  1,  1,  1,  1,  0,  1] | [16,  37] 
 [1,  0,  0,  1,  0,  1,  0,  1,  1,  0,  1,  0] | [11,  29] 
 [1,  0,  1,  0,  1,  1,  1,  0,  1,  0,  1,  1] | [12,  39] 
 [0,  1,  1,  1,  0,  0,  1,  1,  0,  0,  0,  1] | [13,  29] 
 [0,  1,  1,  0,  1,  0,  0,  0,  1,  0,  0,  1] | [7,  38] 
 [1,  1,  0,  0,  1,  0,  0,  0,  1,  1,  0,  1] | [16,  32] 
 [0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0] | [11,  20] 
 [1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0] | [13,  25] 
 [1,  1,  0,  0,  1,  0,  0,  1,  0,  1,  1,  0] | [16,  36] 
 [0,  1,  1,  1,  0,  0,  0,  0,  0,  1,  1,  0] | [6,  35] 
 [0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0] | [7,  40] 
 [1,  1,  0,  1,  0,  1,  0,  0,  0,  1,  1,  1] | [12,  39] 
 [0,  1,  0,  1,  0,  0,  0,  0,  0,  1,  1,  0] | [13,  42] 
 [1,  0,  0,  0,  1,  0,  0,  0,  0,  1,  1,  0] | [8,  28] 
 [1,  1,  1,  1,  1,  1,  0,  0,  0,  0,  1,  0] | [12,  32] 
 [0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  1,  0] | [13,  28] 
 [0,  0,  0,  0,  1,  0,  0,  1,  1,  0,  1,  1] | [12,  39] 
 [0,  1,  0,  1,  1,  1,  0,  1,  1,  1,  1,  1] | [15,  35] 
 [1,  1,  1,  0,  0,  0,  0,  0,  0,  1,  1,  1] | [7,  36] 
 [1,  0,  1,  0,  1,  1,  1,  1,  1,  0,  0,  0] | [9,  37] 
 [0,  0,  1,  0,  1,  0,  0,  1,  1,  1,  0,  1] | [7,  49] 
 [0,  1,  0,  1,  1,  1,  1,  1,  1,  0,  0,  0] | [9,  39] 
 [0,  0,  1,  0,  1,  1,  1,  0,  0,  1,  1,  1] | [13,  41] 
 [1,  0,  1,  0,  0,  0,  0,  0,  1,  0,  0,  0] | [18,  31] 
 [1,  0,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0] | [16,  42] 
 [0,  0,  1,  0,  0,  0,  1,  1,  1,  1,  1,  1] | [14,  28] 
 [0,  0,  0,  0,  1,  0,  1,  0,  1,  0,  0,  0] | [13,  37] 
 [0,  1,  0,  1,  1,  0,  0,  1,  1,  1,  0,  0] | [12,  39] 
 [0,  1,  0,  0,  0,  1,  0,  0,  1,  0,  1,  1] | [13,  38] 
 [1,  1,  1,  0,  1,  1,  0,  1,  0,  0,  0,  0] | [12,  44] 
 [0,  1,  0,  0,  0,  0,  0,  1,  0,  1,  1,  1] | [14,  43] 
 [1,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1] | [11,  42] 
 [1,  1,  0,  1,  1,  0,  0,  0,  1,  1,  0,  1] | [15,  34] 
 [1,  0,  1,  0,  0,  1,  0,  1,  1,  1,  1,  1] | [13,  44] 
 [1,  0,  0,  0,  0,  1,  0,  0,  1,  1,  1,  1] | [9,  46] 
 [1,  0,  1,  0,  1,  0,  1,  1,  0,  1,  0,  0] | [11,  42] 
 [1,  0,  0,  1,  0,  1,  0,  1,  1,  0,  1,  1] | [7,  35] 
 [0,  0,  0,  1,  1,  0,  0,  0,  1,  0,  1,  1] | [17,  39] 
 [1,  1,  0,  1,  0,  1,  0,  0,  0,  0,  0,  0] | [12,  41] 
 [0,  0,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1] | [13,  40] 
 [1,  1,  0,  0,  1,  0,  1,  1,  1,  0,  1,  1] | [10,  36] 
 [0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  1,  1] | [13,  32] 
 [1,  1,  0,  1,  1,  0,  0,  0,  1,  1,  1,  0] | [8,  47] 
 [1,  1,  1,  0,  1,  0,  0,  1,  1,  0,  0,  0] | [7,  41] 
 [0,  1,  1,  0,  1,  0,  0,  0,  0,  0,  1,  0] | [14,  35] 
 [1,  0,  1,  0,  1,  1,  0,  1,  1,  1,  1,  1] | [19,  36] 
 [0,  1,  1,  0,  1,  0,  0,  0,  0,  1,  0,  1] | [16,  42] 
 [1,  0,  1,  0,  0,  1,  1,  1,  0,  0,  0,  1] | [10,  24] 
 [1,  0,  1,  0,  1,  0,  0,  1,  1,  0,  1,  1] | [18,  38] 
 [0,  0,  1,  1,  0,  0,  0,  1,  1,  1,  0,  0] | [12,  29] 
 [1,  1,  0,  0,  1,  1,  1,  0,  0,  1,  1,  0] | [7,  41] 
 [1,  1,  0,  1,  0,  1,  0,  0,  0,  1,  1,  0] | [8,  31] 
 [1,  0,  0,  0,  0,  0,  1,  0,  0,  1,  1,  0] | [9,  39] 
 [0,  1,  1,  1,  1,  0,  0,  1,  0,  0,  0,  1] | [14,  35] 
 [0,  0,  0,  0,  1,  0,  0,  1,  0,  1,  1,  0] | [12,  36] 
 [0,  0,  1,  1,  0,  0,  1,  0,  1,  1,  1,  0] | [14,  36] 
 [0,  0,  1,  1,  0,  1,  1,  1,  1,  1,  0,  1] | [18,  33] 
 [1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  0,  1] | [11,  39] 
 [1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1] | [17,  45] 
 [0,  1,  1,  0,  0,  1,  0,  0,  1,  1,  1,  0] | [4,  36] 
 [0,  1,  0,  1,  0,  0,  0,  0,  1,  0,  1,  1] | [9,  40] 
 [1,  0,  1,  1,  0,  0,  0,  1,  0,  0,  1,  1] | [10,  38] 
 [0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0] | [12,  34] 
 [1,  0,  1,  0,  0,  0,  1,  1,  0,  0,  0,  1] | [16,  31] 
 [0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  1,  1] | [17,  43] 
 [0,  1,  1,  0,  0,  0,  1,  1,  1,  0,  1,  0] | [11,  41] 
 [1,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0,  1] | [13,  30] 
 [0,  1,  1,  0,  1,  1,  0,  0,  0,  0,  1,  1] | [19,  27] 
 [1,  0,  0,  1,  1,  0,  1,  0,  0,  0,  0,  1] | [13,  38] 
 [0,  1,  0,  0,  1,  0,  1,  0,  1,  0,  0,  1] | [9,  37] 
 [0,  1,  1,  0,  0,  0,  1,  0,  1,  1,  0,  1] | [14,  35] 
 [0,  0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  1] | [12,  37] 
 [1,  1,  1,  0,  1,  0,  0,  1,  1,  1,  0,  0] | [12,  37] 
 [0,  1,  1,  0,  0,  1,  0,  1,  1,  0,  1,  1] | [16,  36] 
 [1,  0,  0,  1,  1,  0,  0,  1,  0,  1,  1,  1] | [8,  35] 
 [1,  1,  1,  0,  0,  0,  0,  0,  1,  0,  1,  0] | [13,  41] 
 [0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  1,  1] | [8,  44] 
 [1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0] | [12,  37] 
 [0,  1,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0] | [9,  38] 
 [1,  0,  0,  1,  1,  1,  0,  1,  1,  1,  0,  1] | [17,  37] 
 [0,  0,  1,  1,  0,  1,  1,  0,  0,  1,  0,  1] | [14,  37] 
 [0,  1,  0,  0,  1,  0,  1,  0,  0,  1,  0,  1] | [17,  40] 
 [0,  0,  0,  1,  1,  1,  0,  0,  1,  1,  0,  1] | [16,  35] 
 [0,  1,  1,  0,  1,  1,  1,  1,  1,  1,  1,  0] | [17,  38] 
 [1,  1,  1,  0,  0,  0,  0,  1,  0,  1,  1,  1] | [18,  37] 
 [1,  1,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0] | [12,  38] 
 [0,  1,  1,  0,  1,  0,  1,  1,  0,  0,  1,  1] | [12,  37] 
 [1,  0,  0,  0,  0,  0,  1,  1,  1,  0,  0,  1] | [10,  40] 
 [0,  0,  1,  0,  1,  1,  0,  0,  0,  0,  1,  0] | [10,  42] 
 [0,  1,  0,  0,  1,  0,  0,  1,  1,  1,  1,  0] | [11,  37] 
 [1,  1,  0,  1,  1,  1,  0,  1,  1,  1,  0,  0] | [15,  37] 
 [1,  1,  1,  0,  1,  1,  0,  1,  1,  1,  1,  0] | [12,  30] 
 [1,  0,  1,  0,  1,  0,  0,  0,  1,  0,  1,  1] | [7,  29] 
 [0,  1,  1,  0,  1,  1,  0,  0,  1,  1,  1,  0] | [6,  33] 
 [0,  0,  1,  1,  1,  1,  1,  0,  0,  0,  0,  0] | [14,  41] 
 [0,  0,  0,  1,  1,  0,  1,  1,  1,  1,  0,  0] | [9,  35] 
 [0,  0,  1,  0,  0,  0,  0,  1,  1,  1,  1,  0] | [17,  42] 
 [1,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0] | [17,  35] 
 [0,  0,  1,  1,  0,  0,  1,  1,  1,  0,  0,  1] | [15,  42] 
 [0,  1,  0,  0,  1,  0,  0,  1,  1,  0,  1,  0] | [15,  36] 
 [1,  0,  1,  0,  0,  1,  0,  1,  1,  0,  1,  1] | [22,  32] 
 [1,  1,  0,  1,  1,  0,  0,  1,  1,  1,  1,  0] | [20,  44] 
 [1,  1,  0,  1,  1,  0,  0,  1,  0,  1,  1,  0] | [18,  41] 
 [1,  0,  1,  1,  0,  1,  0,  0,  0,  1,  0,  0] | [9,  47] 
 [1,  0,  0,  1,  0,  1,  1,  0,  1,  1,  1,  1] | [28,  43] 
 [1,  1,  1,  0,  0,  1,  1,  1,  0,  0,  0,  0] | [18,  26] 
 [0,  0,  1,  1,  0,  0,  0,  1,  0,  1,  0,  1] | [10,  36] 
 [0,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1] | [14,  34] 
 [1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  1] | [11,  43] 
 [1,  1,  1,  0,  1,  0,  0,  1,  0,  0,  1,  1] | [13,  37] 
 [0,  1,  0,  0,  1,  0,  0,  0,  0,  1,  1,  1] | [14,  37] 
 [1,  0,  1,  0,  0,  0,  0,  1,  1,  1,  0,  0] | [20,  34] 
 [1,  0,  0,  0,  0,  0,  1,  1,  0,  1,  0,  0] | [8,  51] 
 [1,  1,  1,  1,  1,  0,  0,  1,  0,  0,  1,  0] | [15,  39] 
 [0,  1,  0,  0,  1,  0,  0,  0,  1,  1,  1,  1] | [10,  46] 
 [1,  0,  0,  1,  1,  0,  1,  0,  0,  1,  0,  1] | [16,  40] 
 [0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0] | [7,  33] 
 [1,  0,  1,  1,  0,  0,  0,  0,  0,  0,  1,  0] | [11,  43] 
 [0,  0,  0,  1,  1,  0,  0,  1,  0,  0,  0,  1] | [13,  35] 
 [1,  1,  1,  0,  0,  0,  1,  0,  1,  0,  1,  0] | [12,  36] 
 [0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0] | [13,  46] 
 [1,  1,  0,  0,  1,  0,  1,  0,  1,  1,  1,  1] | [6,  20] 
 [0,  1,  0,  0,  1,  0,  1,  0,  0,  0,  0,  1] | [17,  44] 
 [0,  1,  1,  0,  0,  0,  1,  1,  0,  1,  0,  0] | [12,  25] 
 [0,  1,  0,  1,  1,  0,  1,  0,  0,  1,  1,  1] | [20,  30] 
 [1,  1,  0,  0,  1,  1,  1,  0,  1,  0,  1,  0] | [8,  33] 
 [0,  1,  0,  1,  1,  0,  1,  0,  0,  1,  1,  0] | [10,  42] 
 [1,  0,  1,  1,  0,  0,  0,  1,  0,  1,  1,  0] | [16,  40] 
 [0,  1,  1,  1,  1,  0,  0,  1,  1,  0,  1,  1] | [13,  39] 
 [0,  1,  1,  1,  0,  0,  1,  0,  0,  0,  0,  0] | [18,  36] 
 [1,  0,  1,  1,  1,  0,  1,  0,  0,  0,  1,  0] | [12,  43] 
 [0,  1,  0,  0,  1,  1,  0,  1,  0,  1,  1,  0] | [8,  44] 
 [1,  1,  1,  0,  1,  1,  0,  1,  1,  0,  1,  0] | [16,  35] 
 [0,  0,  1,  0,  1,  1,  0,  1,  0,  0,  0,  1] | [8,  34] 
 [0,  0,  1,  1,  1,  1,  0,  1,  0,  1,  1,  0] | [12,  34] 
 [0,  0,  0,  0,  1,  0,  0,  1,  1,  0,  0,  1] | [15,  36] 
 [1,  1,  0,  1,  0,  0,  1,  1,  1,  1,  0,  1] | [10,  39] 
 [1,  0,  1,  0,  1,  1,  0,  0,  0,  1,  0,  1] | [7,  38] 
 [0,  0,  0,  1,  1,  0,  1,  1,  1,  1,  1,  1] | [16,  35] 
 [0,  0,  0,  0,  0,  0,  1,  0,  1,  1,  0,  1] | [16,  46] 
 [1,  0,  1,  1,  1,  1,  1,  0,  1,  1,  0,  0] | [11,  38] 
 [0,  0,  1,  0,  1,  0,  0,  1,  1,  0,  1,  0] | [13,  25] 
 [1,  0,  1,  0,  0,  0,  0,  0,  1,  1,  1,  0] | [15,  23] 
 [1,  1,  1,  1,  1,  1,  0,  0,  1,  1,  0,  0] | [9,  37] 
 [1,  0,  1,  0,  0,  1,  1,  0,  0,  0,  0,  1] | [10,  38] 
 [0,  1,  0,  0,  1,  0,  1,  0,  0,  1,  1,  0] | [12,  41] 
 [1,  1,  0,  1,  1,  0,  0,  1,  1,  0,  1,  1] | [16,  40] 
 [1,  0,  1,  0,  1,  1,  1,  1,  1,  1,  0,  0] | [12,  31] 
 [1,  0,  1,  0,  0,  0,  1,  1,  0,  1,  0,  0] | [18,  34] 
 [0,  0,  0,  1,  0,  1,  1,  1,  0,  1,  0,  0] | [11,  31] 
 [0,  1,  1,  0,  0,  1,  1,  0,  1,  1,  1,  1] | [5,  31] 
 [1,  1,  0,  1,  1,  0,  0,  1,  1,  0,  1,  0] | [13,  32] 
 [1,  1,  1,  0,  1,  0,  1,  1,  0,  0,  1,  0] | [15,  38] 
 [0,  1,  1,  0,  0,  1,  0,  0,  0,  0,  1,  0] | [15,  29] 
 [1,  0,  1,  1,  0,  1,  1,  0,  1,  1,  1,  1] | [11,  45] 
 [1,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0] | [13,  41] 
 [1,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1,  0] | [13,  31] 
 [1,  0,  1,  0,  1,  0,  1,  0,  1,  0,  0,  0] | [11,  37] 
 [1,  0,  0,  1,  0,  1,  1,  0,  1,  0,  0,  1] | [12,  33] 
 [1,  0,  0,  1,  1,  1,  1,  1,  0,  0,  0,  0] | [20,  39] 
 [0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0,  0] | [8,  33] 
 [1,  0,  0,  1,  1,  0,  0,  0,  1,  1,  0,  0] | [13,  38] 
 [1,  0,  0,  1,  0,  0,  1,  0,  1,  0,  0,  1] | [11,  40] 
 [1,  1,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0] | [14,  49] 
 [0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  0,  0] | [12,  41] 
 [0,  0,  0,  1,  0,  0,  0,  0,  0,  1,  0,  0] | [16,  43] 
 [0,  1,  0,  0,  1,  1,  1,  1,  1,  0,  0,  0] | [13,  34] 
 [1,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  1] | [7,  41] 
 [0,  1,  1,  1,  0,  0,  1,  1,  0,  0,  1,  1] | [12,  30] 
 [0,  1,  1,  0,  0,  1,  0,  0,  1,  1,  0,  0] | [13,  40] 
 [0,  1,  0,  1,  1,  1,  0,  1,  1,  0,  1,  0] | [13,  26] 
 [1,  0,  1,  1,  1,  0,  1,  1,  0,  0,  1,  1] | [15,  40] 
 [0,  0,  1,  0,  0,  1,  1,  1,  1,  0,  1,  1] | [7,  38] 
 [0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  1,  1] | [13,  32] 
 [1,  0,  0,  0,  1,  0,  1,  1,  0,  1,  1,  1] | [9,  32] 
 [1,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0] | [14,  38] 
 [1,  0,  1,  0,  1,  1,  1,  1,  1,  1,  0,  1] | [13,  39] 
 [0,  0,  1,  0,  1,  1,  1,  0,  0,  1,  1,  0] | [11,  43] 
 [1,  0,  1,  1,  0,  1,  0,  0,  1,  1,  0,  0] | [12,  40] 
 [0,  1,  0,  0,  1,  1,  0,  1,  1,  0,  1,  1] | [13,  44] 
 [0,  1,  0,  1,  1,  1,  1,  0,  1,  1,  1,  1] | [19,  30] 
 [1,  1,  0,  1,  1,  0,  0,  1,  0,  1,  0,  1] | [9,  31] 
 [0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  0,  0] | [14,  34] 
 [1,  1,  0,  1,  1,  0,  1,  0,  1,  1,  0,  1] | [10,  40] 
 [0,  0,  1,  0,  0,  1,  1,  1,  0,  1,  0,  0] | [13,  47] 
 [0,  0,  1,  1,  0,  1,  1,  1,  0,  0,  1,  1] | [14,  39] 
 [0,  1,  0,  1,  0,  1,  0,  0,  0,  0,  0,  0] | [8,  28] 
 [1,  1,  0,  0,  0,  0,  0,  1,  1,  1,  0,  1] | [14,  37] 
 [1,  1,  1,  1,  1,  1,  1,  0,  0,  0,  0,  1] | [14,  38] 
 [1,  1,  1,  0,  0,  1,  0,  0,  1,  0,  0,  0] | [17,  32] 
 [0,  1,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1] | [14,  31] 
 [0,  1,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0] | [11,  36] 
 [0,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  1] | [9,  40] 
 [1,  0,  0,  1,  0,  1,  0,  0,  1,  1,  1,  0] | [15,  30] 
 [1,  0,  1,  0,  1,  0,  1,  0,  1,  1,  1,  1] | [14,  38] 
 [0,  1,  1,  1,  0,  1,  1,  1,  0,  0,  0,  0] | [15,  37] 
 [1,  1,  0,  0,  1,  0,  1,  0,  0,  1,  1,  0] | [10,  46] 
 [0,  0,  0,  1,  0,  1,  1,  1,  1,  0,  0,  0] | [10,  36] 
 [0,  0,  1,  1,  0,  0,  0,  1,  1,  1,  1,  0] | [11,  37] 
 [1,  1,  0,  0,  1,  1,  0,  0,  1,  1,  1,  1] | [6,  40] 
 [1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0] | [21,  41] 
 [0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  1] | [9,  40] 
 [0,  0,  1,  1,  0,  0,  1,  1,  1,  1,  1,  0] | [15,  40] 
 [1,  0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  1] | [16,  34] 
 [1,  0,  1,  1,  0,  0,  0,  0,  1,  1,  1,  0] | [11,  32] 
 [0,  1,  1,  1,  1,  0,  1,  0,  1,  1,  1,  1] | [10,  33] 
 [0,  0,  1,  1,  0,  1,  0,  0,  0,  0,  0,  1] | [10,  33] 
 [0,  1,  1,  1,  1,  1,  0,  0,  1,  1,  0,  1] | [10,  27] 
 [0,  0,  1,  0,  1,  1,  1,  0,  1,  0,  1,  1] | [18,  35] 
 [0,  1,  0,  0,  0,  0,  1,  0,  0,  1,  1,  1] | [11,  48] 
 [1,  0,  0,  0,  0,  1,  1,  0,  0,  0,  1,  0] | [10,  31] 
 [0,  0,  1,  1,  1,  0,  1,  1,  1,  0,  0,  0] | [17,  37] 
 [0,  0,  1,  1,  0,  1,  1,  1,  0,  0,  0,  1] | [19,  42] 
 [1,  0,  1,  0,  0,  1,  1,  0,  0,  1,  1,  0] | [14,  43] 
 [0,  0,  1,  0,  1,  1,  0,  1,  0,  0,  0,  0] | [12,  42] 
 [1,  0,  0,  0,  0,  0,  0,  0,  1,  0,  1,  0] | [8,  31] 
 [1,  1,  1,  0,  1,  0,  1,  1,  1,  0,  0,  1] | [10,  21] 
 [1,  0,  0,  0,  1,  0,  1,  0,  0,  0,  1,  0] | [11,  40] 
 [1,  0,  0,  0,  1,  1,  1,  0,  1,  0,  1,  0] | [9,  37] 
 [0,  0,  1,  1,  1,  0,  0,  1,  1,  1,  1,  0] | [11,  33] 
 [1,  1,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0] | [10,  26] 
 [0,  1,  0,  1,  0,  0,  1,  1,  0,  1,  0,  1] | [9,  40] 
 [1,  0,  1,  1,  0,  1,  1,  0,  0,  0,  0,  0] | [15,  43] 
 [0,  1,  1,  1,  1,  1,  1,  0,  1,  0,  1,  0] | [16,  33] 
 [1,  1,  0,  1,  0,  1,  1,  0,  0,  1,  0,  0] | [4,  36] 
 [1,  0,  1,  1,  0,  0,  1,  0,  0,  0,  1,  0] | [15,  35] 
 [0,  0,  1,  1,  1,  0,  1,  1,  1,  1,  1,  1] | [14,  41] 
 [0,  1,  0,  0,  1,  1,  1,  1,  0,  1,  0,  1] | [14,  39] 
 [0,  1,  1,  0,  1,  0,  1,  0,  0,  1,  0,  0] | [13,  31] 
 [1,  1,  0,  1,  1,  0,  0,  1,  0,  0,  1,  0] | [13,  40] 
 [0,  0,  1,  0,  0,  1,  0,  0,  1,  1,  0,  0] | [13,  38] 
 [1,  0,  1,  0,  1,  0,  0,  0,  1,  1,  0,  0] | [16,  43] 
 [1,  1,  0,  1,  0,  0,  1,  1,  0,  0,  1,  1] | [13,  36] 
 [0,  0,  0,  0,  1,  1,  1,  1,  0,  1,  1,  1] | [9,  28] 
 [1,  0,  0,  0,  0,  1,  0,  1,  0,  1,  0,  0] | [16,  43] 
 [0,  0,  1,  1,  0,  0,  1,  0,  1,  1,  0,  1] | [13,  41] 
 [1,  1,  1,  0,  1,  0,  1,  1,  1,  0,  1,  0] | [11,  41] 
 [0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  0,  1] | [16,  40] 
 [1,  0,  0,  0,  0,  1,  0,  1,  1,  0,  0,  0] | [10,  31] 
 [0,  0,  1,  1,  0,  1,  1,  1,  1,  1,  1,  1] | [14,  41] 
 [1,  1,  1,  1,  1,  1,  1,  0,  0,  1,  0,  0] | [16,  36] 
 [1,  1,  0,  1,  0,  1,  0,  0,  1,  1,  0,  1] | [19,  30] 
 [1,  1,  0,  1,  0,  0,  1,  0,  0,  0,  0,  1] | [14,  38] 
 [0,  0,  1,  1,  0,  1,  1,  0,  1,  1,  1,  1] | [13,  35] 
 [1,  0,  1,  0,  0,  0,  1,  0,  1,  0,  0,  1] | [13,  32] 
 [1,  0,  0,  1,  0,  0,  0,  1,  0,  0,  0,  1] | [9,  35] 
 [1,  1,  1,  1,  1,  0,  0,  1,  0,  1,  0,  1] | [14,  42] 
 [1,  0,  1,  0,  0,  0,  1,  0,  0,  0,  1,  1] | [11,  34] 
 [1,  1,  0,  0,  0,  1,  0,  1,  0,  0,  1,  1] | [5,  36] 
 [0,  1,  0,  1,  0,  1,  1,  1,  1,  0,  1,  0] | [18,  41] 
 [0,  0,  1,  0,  1,  1,  0,  0,  0,  0,  1,  1] | [11,  29] 
 [1,  1,  0,  0,  1,  1,  0,  0,  0,  1,  0,  0] | [13,  36] 
 [0,  0,  1,  0,  1,  1,  1,  0,  0,  0,  0,  0] | [8,  43] 
 [0,  0,  1,  0,  1,  0,  0,  0,  1,  0,  0,  0] | [14,  37] 
 [0,  1,  1,  1,  1,  1,  1,  0,  0,  1,  1,  1] | [7,  35] 
 [0,  0,  0,  1,  0,  0,  1,  1,  1,  0,  1,  1] | [13,  36] 
 [1,  1,  0,  1,  1,  0,  0,  1,  0,  1,  0,  0] | [14,  41] 
 [0,  0,  0,  0,  0,  1,  1,  0,  1,  1,  0,  1] | [14,  43] 
 [1,  0,  0,  1,  1,  0,  1,  0,  0,  1,  1,  0] | [16,  34] 
 [1,  0,  1,  0,  0,  0,  0,  0,  1,  0,  1,  1] | [14,  32] 
 [1,  1,  1,  0,  1,  1,  1,  1,  0,  0,  1,  1] | [9,  44] 
 [0,  0,  1,  0,  0,  0,  0,  1,  1,  1,  0,  1] | [11,  46] 
 [0,  0,  1,  1,  0,  1,  1,  0,  1,  1,  0,  0] | [17,  34] 
 [0,  0,  0,  1,  0,  1,  1,  0,  0,  1,  0,  0] | [16,  45] 
 [0,  0,  1,  1,  1,  1,  1,  1,  0,  1,  0,  1] | [16,  25] 
 [1,  0,  0,  1,  1,  1,  0,  0,  0,  0,  0,  1] | [14,  45] 
 [1,  1,  0,  1,  0,  1,  0,  1,  0,  0,  1,  0] | [16,  32] 
